generation,best_in_population,mean_fitness,global_best_fitness
0,-1028.603508,-1050.958397,-1028.603508
1,-1028.603508,-1035.474397,-1028.603508
2,-1028.603508,-1035.614397,-1028.603508
3,-1028.603508,-1031.684286,-1028.603508
4,-1028.603508,-1038.859286,-1028.603508
5,-1028.603508,-1041.110953,-1028.603508
6,-1028.603508,-1063.957335,-1028.603508
7,-1028.603508,-1034.240842,-1028.603508
8,-1028.603508,-1038.269730,-1028.603508
9,-1028.603508,-1050.840175,-1028.603508
10,-1028.603508,-1033.997397,-1028.603508
11,-1028.603508,-1028.603508,-1028.603508
12,-1028.603508,-1028.603508,-1028.603508
13,-1028.603508,-1028.603508,-1028.603508
14,-1028.603508,-1043.150058,-1028.603508
15,-1028.603508,-1057.696608,-1028.603508
16,-1028.603508,-1028.603508,-1028.603508
17,-1028.603508,-1028.603508,-1028.603508
18,-1028.603508,-1028.603508,-1028.603508
19,-1028.603508,-1028.603508,-1028.603508
20,-1028.603508,-1028.603508,-1028.603508
21,-1028.603508,-1043.150058,-1028.603508
22,-1028.603508,-1028.603508,-1028.603508
23,-1028.603508,-1028.603508,-1028.603508
24,-1028.603508,-1028.603508,-1028.603508
25,-1028.603508,-1028.603508,-1028.603508
26,-1028.603508,-1028.603508,-1028.603508
27,-1028.603508,-1028.603508,-1028.603508
28,-1028.603508,-1028.603508,-1028.603508
29,-823.701147,-1021.773429,-823.701147
30,-823.701147,-1057.815695,-823.701147
31,-808.044383,-946.749943,-808.044383
32,-738.609861,-917.850533,-738.609861
33,-733.866168,-851.512950,-733.866168
34,-604.194039,-820.421223,-604.194039
35,-580.115366,-777.765790,-580.115366
36,-580.115366,-758.393185,-580.115366
37,-580.115366,-764.184212,-580.115366
38,-580.115366,-747.536003,-580.115366
39,-580.115366,-809.141923,-580.115366
40,-580.115366,-827.695389,-580.115366
41,-580.115366,-808.765365,-580.115366
42,-580.115366,-784.253147,-580.115366
43,-580.115366,-813.992179,-580.115366
44,-580.115366,-801.352077,-580.115366
45,-580.115366,-780.733607,-580.115366
46,-569.388852,-770.809036,-569.388852
47,-569.388852,-794.343686,-569.388852
48,-503.296346,-681.791227,-503.296346
49,-377.063644,-781.977630,-377.063644
50,-377.063644,-579.718110,-377.063644
51,-357.195216,-639.536211,-357.195216
52,-346.976752,-612.132417,-346.976752
53,-330.475255,-603.957518,-330.475255
54,-330.475255,-500.959182,-330.475255
55,-330.475255,-562.882720,-330.475255
56,-330.475255,-591.466888,-330.475255
57,-246.192696,-430.218024,-246.192696
58,-246.192696,-389.784932,-246.192696
59,-246.192696,-380.210387,-246.192696
60,-246.192696,-403.859502,-246.192696
61,-246.192696,-372.693524,-246.192696
62,-246.192696,-402.834534,-246.192696
63,-246.192696,-324.966050,-246.192696
64,-246.192696,-366.241267,-246.192696
65,-246.192696,-376.734197,-246.192696
66,-200.889472,-340.348530,-200.889472
67,-200.889472,-355.407239,-200.889472
68,-200.889472,-351.720940,-200.889472
69,-200.889472,-334.500350,-200.889472
70,-200.889472,-307.931350,-200.889472
71,-200.889472,-358.824044,-200.889472
72,-200.889472,-319.518923,-200.889472
73,-200.889472,-358.600584,-200.889472
74,-200.889472,-377.174591,-200.889472
75,-200.889472,-349.298152,-200.889472
76,-200.889472,-341.227835,-200.889472
77,-200.889472,-412.718792,-200.889472
78,-200.889472,-326.408937,-200.889472
79,-200.889472,-373.554857,-200.889472
80,-200.889472,-386.519577,-200.889472
81,-200.889472,-339.179462,-200.889472
82,-200.889472,-348.979019,-200.889472
83,-200.889472,-339.874886,-200.889472
84,-200.889472,-338.340734,-200.889472
85,-200.889472,-371.814000,-200.889472
86,-200.889472,-350.340030,-200.889472
87,-200.889472,-318.879362,-200.889472
88,-200.889472,-364.439950,-200.889472
89,-200.889472,-333.619932,-200.889472
90,-200.889472,-337.658517,-200.889472
91,-200.889472,-399.168323,-200.889472
92,-200.889472,-343.418555,-200.889472
93,-200.889472,-378.928909,-200.889472
94,-200.889472,-360.966478,-200.889472
95,-200.889472,-351.443091,-200.889472
96,-200.889472,-346.690255,-200.889472
97,-200.889472,-343.797832,-200.889472
98,-200.889472,-403.146719,-200.889472
99,-200.889472,-345.773211,-200.889472
100,-200.889472,-374.607311,-200.889472
101,-200.889472,-426.327136,-200.889472
102,-200.889472,-318.577253,-200.889472
103,-200.889472,-301.190891,-200.889472
104,-200.889472,-383.540623,-200.889472
105,-200.889472,-357.427286,-200.889472
106,298.265069,-323.617707,298.265069
107,298.265069,-361.457560,298.265069
108,298.265069,-316.168567,298.265069
109,298.265069,-455.761026,298.265069
110,298.265069,-351.794695,298.265069
111,298.265069,-408.638858,298.265069
112,298.265069,-406.828654,298.265069
113,298.265069,-353.830308,298.265069
114,298.265069,-557.320700,298.265069
115,298.265069,-559.813074,298.265069
116,298.265069,-564.735767,298.265069
117,298.265069,-438.836368,298.265069
118,298.265069,-579.551907,298.265069
119,298.265069,-577.566592,298.265069
120,298.265069,-684.377411,298.265069
121,298.265069,-478.752475,298.265069
122,298.265069,-677.070808,298.265069
123,298.265069,-506.471597,298.265069
124,298.265069,-479.775446,298.265069
125,298.265069,-555.685648,298.265069
126,298.265069,-423.906954,298.265069
127,298.265069,-499.594366,298.265069
128,298.265069,-648.373050,298.265069
129,298.265069,-537.579296,298.265069
130,298.265069,-429.816161,298.265069
131,298.265069,-429.475915,298.265069
132,298.265069,-429.575278,298.265069
133,298.265069,-459.290222,298.265069
134,298.265069,-426.299032,298.265069
135,298.265069,-604.952261,298.265069
136,298.265069,-452.511934,298.265069
137,298.265069,-463.187711,298.265069
138,298.265069,-525.974024,298.265069
139,298.265069,-453.807411,298.265069
140,298.265069,-405.898648,298.265069
141,298.265069,-397.001229,298.265069
142,298.265069,-572.538047,298.265069
143,298.265069,-584.768103,298.265069
144,298.265069,-509.789575,298.265069
145,298.265069,-372.355754,298.265069
146,298.265069,-474.688990,298.265069
147,298.265069,-402.698188,298.265069
148,298.265069,-594.784551,298.265069
149,298.265069,-352.315276,298.265069
150,298.265069,-639.125322,298.265069
