generation,best_in_population,mean_fitness,global_best_fitness
0,-1091.488800,-1155.755022,-1091.488800
1,-1091.488800,-1103.819689,-1091.488800
2,-1091.488800,-1129.196729,-1091.488800
3,-1091.488800,-1110.425356,-1091.488800
4,-1091.488800,-1099.294578,-1091.488800
5,-1091.488800,-1104.771689,-1091.488800
6,-1091.488800,-1105.268689,-1091.488800
7,-1091.488800,-1113.988062,-1091.488800
8,-1091.488800,-1119.564244,-1091.488800
9,-1091.488800,-1095.717578,-1091.488800
10,-1091.488800,-1127.527133,-1091.488800
11,-998.594896,-1088.392337,-998.594896
12,-998.594896,-1074.735870,-998.594896
13,-964.509008,-1041.006165,-964.509008
14,-961.091200,-1021.735705,-961.091200
15,-948.531360,-1038.321363,-948.531360
16,-948.531360,-983.285418,-948.531360
17,-948.531360,-1058.203624,-948.531360
18,-948.417712,-1029.501360,-948.417712
19,-946.705440,-972.733217,-946.705440
20,-900.547456,-995.436275,-900.547456
21,-875.071328,-1022.464123,-875.071328
22,-875.071328,-995.579525,-875.071328
23,-869.330720,-1075.172953,-869.330720
24,-869.330720,-1012.227090,-869.330720
25,-869.330720,-1019.772292,-869.330720
26,-859.726240,-975.069515,-859.726240
27,-859.726240,-979.111078,-859.726240
28,-822.381504,-968.782639,-822.381504
29,-818.710400,-920.026079,-818.710400
30,-818.710400,-897.316118,-818.710400
31,-813.752080,-877.391686,-813.752080
32,-808.448736,-887.827437,-808.448736
33,-805.654880,-904.602031,-805.654880
34,-770.858480,-889.119650,-770.858480
35,-764.854560,-879.709707,-764.854560
36,-764.854560,-864.022815,-764.854560
37,-764.854560,-921.442844,-764.854560
38,-758.795792,-899.292820,-758.795792
39,-758.795792,-878.271345,-758.795792
40,-758.795792,-914.370190,-758.795792
41,-757.466320,-919.463541,-757.466320
42,-747.288960,-874.371486,-747.288960
43,-747.288960,-900.772121,-747.288960
44,-719.999408,-855.846727,-719.999408
45,-719.999408,-904.195512,-719.999408
46,-719.999408,-878.990395,-719.999408
47,-719.999408,-891.148558,-719.999408
48,-719.999408,-866.603653,-719.999408
49,-719.999408,-920.514185,-719.999408
50,-719.999408,-869.310058,-719.999408
51,-707.670496,-857.929539,-707.670496
52,-705.024160,-837.628477,-705.024160
53,-705.024160,-930.991388,-705.024160
54,-705.024160,-870.483932,-705.024160
55,-705.024160,-877.256338,-705.024160
56,-705.024160,-931.546306,-705.024160
57,-705.024160,-820.238130,-705.024160
58,-705.024160,-927.571247,-705.024160
59,-705.024160,-851.233746,-705.024160
60,-702.554800,-816.695385,-702.554800
61,-695.689392,-865.965100,-695.689392
62,-695.689392,-918.687838,-695.689392
63,-695.689392,-872.498004,-695.689392
64,-695.684640,-878.196508,-695.684640
65,-692.645168,-942.974911,-692.645168
66,-686.883840,-861.884383,-686.883840
67,-684.165184,-899.388910,-684.165184
68,-684.165184,-920.272604,-684.165184
69,-684.165184,-921.096149,-684.165184
70,-659.656048,-837.575869,-659.656048
71,-659.656048,-929.263625,-659.656048
72,-646.536320,-828.794390,-646.536320
73,-646.536320,-895.547140,-646.536320
74,-645.059200,-879.103385,-645.059200
75,-645.059200,-871.371897,-645.059200
76,-635.518640,-790.829477,-635.518640
77,-635.518640,-863.521468,-635.518640
78,-623.868560,-839.351749,-623.868560
79,-623.868560,-779.726305,-623.868560
80,-623.006400,-839.546578,-623.006400
81,-623.006400,-846.061927,-623.006400
82,-622.280960,-857.815068,-622.280960
83,-622.280960,-903.361212,-622.280960
84,-620.751520,-814.210056,-620.751520
85,-605.791568,-770.588635,-605.791568
86,-603.701968,-834.302647,-603.701968
87,-283.350464,-821.734525,-283.350464
88,-283.350464,-835.704786,-283.350464
89,-283.350464,-783.117923,-283.350464
90,-262.497328,-711.748485,-262.497328
91,-262.497328,-852.892367,-262.497328
92,-262.497328,-809.877018,-262.497328
93,-262.497328,-658.559355,-262.497328
94,-262.497328,-742.338195,-262.497328
95,-262.497328,-732.343434,-262.497328
96,-262.497328,-692.569486,-262.497328
97,-262.497328,-764.591265,-262.497328
98,-262.497328,-769.473382,-262.497328
99,-262.497328,-709.799469,-262.497328
100,-262.497328,-669.644605,-262.497328
101,-262.497328,-698.759981,-262.497328
102,-262.497328,-758.559664,-262.497328
103,-262.497328,-774.565227,-262.497328
104,-262.497328,-669.520895,-262.497328
105,-262.497328,-632.081489,-262.497328
106,-262.497328,-773.980647,-262.497328
107,-262.497328,-638.161604,-262.497328
108,-249.415360,-748.046813,-249.415360
109,-249.415360,-778.441453,-249.415360
110,-249.415360,-817.585402,-249.415360
