generation,best_in_population,mean_fitness,global_best_fitness
0,988.991000,-967.256869,988.991000
1,989.770000,-600.822095,989.770000
2,991.137333,-63.876493,991.137333
3,992.503000,481.662040,992.503000
4,993.651333,541.313882,993.651333
5,993.651333,512.994034,993.651333
6,994.123667,571.361949,994.123667
7,994.572333,344.579457,994.572333
8,994.572333,402.180945,994.572333
9,994.572667,324.293996,994.572667
10,994.572667,488.194055,994.572667
11,994.572667,253.341796,994.572667
12,994.572667,379.684263,994.572667
13,994.572667,325.905815,994.572667
14,994.572667,439.085951,994.572667
15,994.572667,246.462654,994.572667
16,994.584667,317.675749,994.584667
17,994.584667,435.642513,994.584667
18,994.885333,388.521481,994.885333
19,994.885333,427.979156,994.885333
20,994.897333,229.900355,994.897333
21,994.897333,354.554105,994.897333
22,994.897333,127.570790,994.897333
23,994.897333,108.734383,994.897333
24,994.897333,253.149353,994.897333
25,994.897333,452.602656,994.897333
26,994.897333,279.406147,994.897333
27,994.897333,426.559290,994.897333
28,994.897333,373.278999,994.897333
29,994.897333,148.300073,994.897333
30,994.897333,271.503106,994.897333
31,994.897333,476.414246,994.897333
32,994.897333,492.328726,994.897333
33,994.897333,488.286971,994.897333
34,994.897333,400.131598,994.897333
35,994.897333,299.625991,994.897333
36,994.897333,192.114873,994.897333
37,994.897333,454.033292,994.897333
38,994.897333,171.231074,994.897333
39,994.897333,393.305663,994.897333
40,994.897333,120.089008,994.897333
41,994.897333,376.550584,994.897333
42,994.897333,285.425163,994.897333
43,994.921667,426.710223,994.921667
44,994.921667,248.856190,994.921667
45,994.975000,438.673768,994.975000
46,994.975000,431.317835,994.975000
47,994.975000,219.464455,994.975000
48,995.310667,178.609926,995.310667
49,995.310667,348.085230,995.310667
50,995.322000,346.536397,995.322000
51,995.322000,226.598754,995.322000
52,995.322000,270.283269,995.322000
53,995.322000,257.715511,995.322000
54,995.322000,151.516406,995.322000
55,995.322000,261.871147,995.322000
56,995.322000,450.485262,995.322000
57,995.324000,121.001397,995.324000
58,995.328667,411.356317,995.328667
59,995.328667,341.005137,995.328667
60,995.328667,114.464773,995.328667
61,995.390000,178.976514,995.390000
62,995.390000,87.414612,995.390000
63,995.420667,55.954330,995.420667
64,995.712000,289.827875,995.712000
65,995.712000,188.188265,995.712000
66,995.712000,231.797721,995.712000
67,995.712000,-137.576116,995.712000
68,995.712000,184.299716,995.712000
69,995.712000,57.483728,995.712000
70,995.712000,-113.749212,995.712000
71,995.715667,186.264371,995.715667
72,995.715667,312.138246,995.715667
73,995.715667,88.686657,995.715667
74,995.715667,91.659481,995.715667
75,995.718000,298.769656,995.718000
