generation,best_in_population,mean_fitness,global_best_fitness
0,-353.309200,-353.309200,-353.309200
1,-353.309200,-353.309200,-353.309200
2,-353.309200,-353.309200,-353.309200
3,-353.309200,-353.309200,-353.309200
4,-353.309200,-353.309200,-353.309200
5,-353.309200,-353.309200,-353.309200
6,-353.309200,-353.309200,-353.309200
7,-353.309200,-353.309200,-353.309200
8,-353.309200,-353.309200,-353.309200
9,-353.309200,-353.309200,-353.309200
10,-353.309200,-353.309200,-353.309200
11,-353.309200,-353.309200,-353.309200
12,-353.309200,-353.309200,-353.309200
13,-353.309200,-353.309200,-353.309200
14,-353.309200,-353.309200,-353.309200
15,-353.309200,-353.309200,-353.309200
16,-353.309200,-353.309200,-353.309200
17,-353.309200,-353.309200,-353.309200
18,-353.309200,-353.309200,-353.309200
19,-353.309200,-353.309200,-353.309200
20,-353.309200,-353.309200,-353.309200
21,-353.309200,-353.309200,-353.309200
22,-270.434260,-355.018042,-270.434260
23,179.482400,-316.955410,179.482400
24,179.482400,-198.982324,179.482400
25,339.354200,-157.876082,339.354200
26,339.354200,-20.263333,339.354200
27,339.354200,43.526329,339.354200
28,339.354200,-8.750540,339.354200
29,339.354200,37.022996,339.354200
30,339.354200,98.628744,339.354200
31,355.231280,129.414222,355.231280
32,355.231280,48.245248,355.231280
33,355.231280,-26.241385,355.231280
34,355.231280,49.508708,355.231280
35,355.231280,47.042743,355.231280
36,355.231280,101.443260,355.231280
37,355.231280,49.909453,355.231280
38,355.231280,34.318800,355.231280
39,355.231280,-24.656486,355.231280
40,355.231280,-4.353495,355.231280
41,355.231280,12.383032,355.231280
42,355.231280,34.974241,355.231280
43,355.231280,18.409874,355.231280
44,355.231280,70.873371,355.231280
45,355.231280,-21.753178,355.231280
46,355.231280,26.024757,355.231280
47,355.231280,35.652090,355.231280
48,355.231280,12.506788,355.231280
49,355.231280,128.319927,355.231280
50,359.706880,59.251407,359.706880
51,359.706880,24.863455,359.706880
52,1000.000000,15.749954,980.529333
53,980.529333,-14.281028,980.529333
54,980.529333,4.353337,980.529333
55,980.529333,41.168421,980.529333
56,980.529333,52.486276,980.529333
57,983.455667,74.985536,983.455667
58,983.455667,43.383637,983.455667
0,-353.309200,-353.309200,-353.309200
1,-353.309200,-353.309200,-353.309200
2,-353.309200,-353.309200,-353.309200
3,-353.309200,-353.309200,-353.309200
4,-353.309200,-353.309200,-353.309200
5,-353.309200,-353.309200,-353.309200
6,-353.309200,-353.309200,-353.309200
7,-353.309200,-353.309200,-353.309200
8,-353.309200,-353.309200,-353.309200
9,-353.309200,-353.309200,-353.309200
10,-353.309200,-353.309200,-353.309200
11,-353.309200,-353.309200,-353.309200
12,-353.309200,-353.309200,-353.309200
13,-353.309200,-353.309200,-353.309200
