generation,best_in_population,mean_fitness,global_best_fitness
0,970.928333,-765.429618,970.928333
1,971.943000,-227.086589,971.943000
2,971.969667,350.452609,971.969667
3,973.562333,262.146314,973.562333
4,973.581667,210.392051,973.581667
5,974.676000,205.391447,974.676000
6,974.720667,276.694552,974.720667
7,976.088000,222.095311,976.088000
8,976.088000,301.511278,976.088000
9,976.330333,342.000616,976.330333
10,977.404667,234.359096,977.404667
11,979.539667,367.643366,979.539667
12,979.539667,331.690412,979.539667
13,980.353667,198.919219,980.353667
14,980.371000,101.763983,980.371000
15,980.408000,138.870531,980.408000
16,980.680333,160.888895,980.680333
17,980.718667,438.254396,980.718667
18,981.520667,156.817033,981.520667
19,981.937000,370.751893,981.937000
20,981.937000,-56.012089,981.937000
21,982.443667,131.015169,982.443667
22,982.443667,54.367306,982.443667
23,983.021667,-64.944157,983.021667
24,983.492000,57.728111,983.492000
25,983.635000,-120.189712,983.635000
26,984.061333,282.074500,984.061333
27,984.061333,-56.268300,984.061333
28,984.364333,-48.531359,984.364333
29,984.364333,-43.450367,984.364333
30,984.364333,-69.838378,984.364333
31,984.524000,-23.188419,984.524000
32,985.021333,25.325648,985.021333
33,985.311000,-89.791659,985.311000
34,985.608333,418.799352,985.608333
35,985.838667,120.246024,985.838667
36,985.838667,315.237470,985.838667
37,986.142333,238.383325,986.142333
38,986.143000,-68.912430,986.143000
39,986.461333,-24.671906,986.461333
40,986.461333,4.207041,986.461333
41,986.792667,142.378559,986.792667
42,986.792667,80.677592,986.792667
43,986.792667,-86.856735,986.792667
44,986.792667,-283.245479,986.792667
45,986.792667,-230.597179,986.792667
46,986.792667,-420.217031,986.792667
47,987.128667,-270.874961,987.128667
48,987.128667,-314.465661,987.128667
49,987.128667,-187.313693,987.128667
50,987.128667,-372.326303,987.128667
51,987.128667,-136.289927,987.128667
52,987.128667,-350.333455,987.128667
53,987.128667,-423.398621,987.128667
54,987.129667,-35.560826,987.129667
55,987.129667,-269.316937,987.129667
56,987.129667,-6.824689,987.129667
57,987.129667,-360.221259,987.129667
58,987.129667,-208.278961,987.129667
59,987.129667,-251.807368,987.129667
60,987.129667,-186.127023,987.129667
61,987.129667,-216.706455,987.129667
62,987.129667,-29.361371,987.129667
63,987.129667,-256.005445,987.129667
64,987.129667,-412.860721,987.129667
65,987.129667,-296.647860,987.129667
66,987.148667,-152.291238,987.148667
67,987.148667,-198.885671,987.148667
68,987.148667,-355.779269,987.148667
69,987.148667,-201.016967,987.148667
70,987.166667,-153.884563,987.166667
71,987.166667,-274.273330,987.166667
72,987.805000,-182.401046,987.805000
73,987.805000,-164.424890,987.805000
74,987.805000,41.381573,987.805000
75,987.805000,-53.436100,987.805000
76,987.805000,-160.344539,987.805000
77,987.809667,85.426793,987.809667
78,987.810333,-293.760254,987.810333
79,987.810333,-110.846149,987.810333
80,987.810333,-160.337429,987.810333
81,988.222000,85.867850,988.222000
82,988.223667,148.444711,988.223667
83,988.223667,210.722716,988.223667
84,988.223667,280.252848,988.223667
85,988.223667,-89.055446,988.223667
86,988.223667,66.962665,988.223667
87,988.243667,50.622134,988.243667
88,988.256333,-7.220541,988.256333
89,988.256333,-243.064891,988.256333
90,988.256333,39.231302,988.256333
91,988.256333,24.738354,988.256333
92,988.256333,93.991830,988.256333
93,988.256333,81.249020,988.256333
94,988.256333,36.147239,988.256333
95,988.256333,-50.717634,988.256333
96,988.256333,-97.636985,988.256333
97,988.256333,-80.158823,988.256333
98,988.256333,-61.330919,988.256333
99,988.261667,-190.346878,988.261667
100,988.261667,-28.709312,988.261667
101,988.261667,-70.001486,988.261667
102,988.261667,6.386775,988.261667
103,988.261667,169.182820,988.261667
104,988.261667,-9.706261,988.261667
105,988.261667,268.396495,988.261667
106,988.261667,130.921658,988.261667
107,988.261667,177.024997,988.261667
108,988.261667,259.608508,988.261667
109,988.261667,-96.436119,988.261667
110,988.261667,46.122706,988.261667
111,988.261667,253.662457,988.261667
112,988.261667,78.666524,988.261667
113,988.261667,-24.079477,988.261667
114,988.261667,123.990363,988.261667
115,988.261667,289.487318,988.261667
116,988.261667,310.949815,988.261667
117,988.261667,266.481847,988.261667
118,988.261667,56.848615,988.261667
119,988.261667,101.539280,988.261667
120,988.261667,23.723104,988.261667
121,988.261667,79.596685,988.261667
122,988.261667,40.700289,988.261667
123,988.261667,332.468145,988.261667
124,988.261667,90.667138,988.261667
125,988.261667,-71.556051,988.261667
126,988.261667,-3.993220,988.261667
127,988.262000,174.332003,988.262000
128,988.262000,-33.954111,988.262000
129,988.262667,-13.231352,988.262667
130,988.262667,10.133792,988.262667
131,988.264333,173.283919,988.264333
132,988.271000,164.208072,988.271000
133,988.271000,26.032994,988.271000
134,988.271000,214.108456,988.271000
135,988.272667,38.893222,988.272667
136,988.272667,310.192207,988.272667
137,988.272667,305.458391,988.272667
138,988.272667,141.830255,988.272667
139,988.272667,116.517502,988.272667
140,988.272667,7.972857,988.272667
141,988.272667,61.028374,988.272667
142,988.272667,69.979255,988.272667
143,988.272667,375.475325,988.272667
144,988.273000,193.294179,988.273000
145,988.273000,218.480373,988.273000
146,988.273000,-54.841678,988.273000
147,988.273333,155.406071,988.273333
148,988.273333,117.867298,988.273333
149,988.273333,-34.385169,988.273333
150,988.280667,137.349231,988.280667
151,988.290000,217.665271,988.290000
152,988.290000,196.939911,988.290000
153,988.290000,-69.489395,988.290000
154,988.290000,189.931320,988.290000
155,988.290000,-100.865396,988.290000
156,988.290000,158.676754,988.290000
157,988.311000,-14.443368,988.311000
158,988.311000,-93.325101,988.311000
159,988.311000,-212.141344,988.311000
160,988.311000,-141.468914,988.311000
161,988.311000,86.868816,988.311000
162,988.311000,-106.333283,988.311000
163,988.311000,-131.950494,988.311000
164,988.311000,-68.794357,988.311000
165,988.311000,-165.396787,988.311000
166,988.311000,-13.381528,988.311000
167,988.311000,-297.352537,988.311000
168,988.311000,-90.196677,988.311000
169,988.311000,154.714778,988.311000
170,988.311000,-65.306573,988.311000
171,988.311000,-173.171475,988.311000
172,988.311000,-168.664947,988.311000
173,988.311000,-135.922277,988.311000
174,988.311000,-249.215420,988.311000
175,988.311000,6.692237,988.311000
176,988.311000,-22.764259,988.311000
177,988.311000,-100.327387,988.311000
178,988.311000,68.976256,988.311000
179,988.311000,211.146043,988.311000
180,988.334000,-10.232861,988.334000
181,988.334000,-139.731872,988.334000
182,988.334000,-164.159314,988.334000
183,988.334000,-191.761251,988.334000
184,988.334000,-174.510504,988.334000
185,988.334000,-214.393182,988.334000
186,988.334000,-234.843217,988.334000
187,988.334000,-205.330717,988.334000
188,988.334000,-180.829267,988.334000
189,988.334000,-282.848105,988.334000
190,988.334000,-188.192671,988.334000
191,988.334000,-332.256887,988.334000
192,988.334000,-356.871460,988.334000
193,988.334000,-435.736372,988.334000
194,988.334000,-296.581591,988.334000
195,988.339000,-137.659157,988.339000
196,988.339000,-66.082058,988.339000
197,988.339000,-214.946124,988.339000
198,988.339000,-301.101780,988.339000
199,988.339000,-84.961613,988.339000
200,988.339000,-150.104350,988.339000
201,988.339000,-133.078121,988.339000
202,988.339000,-119.758270,988.339000
203,988.339000,-47.087829,988.339000
204,988.339000,296.665973,988.339000
205,988.339000,-63.585560,988.339000
206,988.349667,61.850320,988.349667
207,988.349667,-126.657132,988.349667
208,988.349667,-120.435424,988.349667
209,988.349667,111.577724,988.349667
210,988.349667,-57.688387,988.349667
211,988.349667,-49.736738,988.349667
212,988.349667,-67.443512,988.349667
213,988.349667,-227.027238,988.349667
214,988.349667,-153.533578,988.349667
215,988.349667,-115.265840,988.349667
216,988.349667,-245.644277,988.349667
217,988.349667,-233.557258,988.349667
218,988.349667,-40.214117,988.349667
219,988.349667,-103.888398,988.349667
220,988.349667,-279.314580,988.349667
221,988.349667,-266.873719,988.349667
222,988.497333,-229.759108,988.497333
223,988.497333,-270.873466,988.497333
224,988.497333,-176.596042,988.497333
225,988.497333,-80.546348,988.497333
226,988.497333,-154.291700,988.497333
227,988.497333,-174.116898,988.497333
228,988.497333,-246.237732,988.497333
229,988.509333,-370.579486,988.509333
230,988.509333,-187.652352,988.509333
231,988.509333,-221.181109,988.509333
232,988.509333,-365.956136,988.509333
233,988.509333,-191.267243,988.509333
234,988.509333,-385.558976,988.509333
235,988.509333,-461.616306,988.509333
236,988.509333,-227.436909,988.509333
237,988.509333,-325.314611,988.509333
238,988.509333,-185.357226,988.509333
239,988.509333,-321.335848,988.509333
240,988.509333,-265.544344,988.509333
241,988.509333,-277.523780,988.509333
242,988.509333,-147.300833,988.509333
243,988.509333,-152.922970,988.509333
244,988.509333,-454.212134,988.509333
245,988.509333,-424.494329,988.509333
246,988.509333,-273.543314,988.509333
247,988.509333,-272.281223,988.509333
248,988.509333,-331.768180,988.509333
249,988.509333,-322.862685,988.509333
250,988.509333,-140.899030,988.509333
251,988.509333,-164.431522,988.509333
252,988.517667,-101.141876,988.517667
253,988.517667,-156.780903,988.517667
254,988.517667,-127.700105,988.517667
255,988.517667,-35.686090,988.517667
256,988.517667,-228.295789,988.517667
257,988.517667,-279.291971,988.517667
258,988.517667,-187.283829,988.517667
259,988.517667,-242.574014,988.517667
260,988.517667,-112.042251,988.517667
261,988.517667,-457.416125,988.517667
262,988.517667,-191.583289,988.517667
263,988.517667,-25.236112,988.517667
264,988.517667,-346.789732,988.517667
265,988.517667,-499.968177,988.517667
266,988.517667,-421.933102,988.517667
267,988.517667,-476.763580,988.517667
268,988.517667,-93.272376,988.517667
269,988.517667,-124.519975,988.517667
270,988.517667,-251.560583,988.517667
