generation,best_in_population,mean_fitness,global_best_fitness
0,-850.693738,-857.210960,-850.693738
1,-850.693738,-852.210405,-850.693738
2,-850.693738,-857.524294,-850.693738
3,-850.693738,-853.568182,-850.693738
4,-850.693738,-851.534294,-850.693738
5,-850.693738,-852.168182,-850.693738
6,-850.693738,-856.198182,-850.693738
7,-850.693738,-854.894849,-850.693738
8,-850.693738,-855.957071,-850.693738
9,-850.693738,-855.212071,-850.693738
10,-850.693738,-851.933738,-850.693738
11,-850.693738,-850.693738,-850.693738
12,-850.693738,-850.693738,-850.693738
13,-850.693738,-850.693738,-850.693738
14,-850.693738,-850.693738,-850.693738
15,-850.693738,-850.693738,-850.693738
16,-336.608910,-816.993440,-336.608910
17,-336.608910,-756.276691,-336.608910
18,-336.608910,-591.654819,-336.608910
19,-304.698890,-634.313978,-304.698890
20,-304.698890,-507.858429,-304.698890
21,-297.934760,-454.046717,-297.934760
22,-297.934760,-470.720001,-297.934760
23,-219.688588,-486.001382,-219.688588
24,-219.688588,-478.998582,-219.688588
25,-205.825921,-449.657862,-205.825921
26,-186.543110,-364.652691,-186.543110
27,-186.543110,-333.376482,-186.543110
28,-186.543110,-397.311763,-186.543110
29,-165.860060,-372.765497,-165.860060
30,-165.860060,-386.693714,-165.860060
31,-165.860060,-335.721908,-165.860060
32,-165.860060,-339.900686,-165.860060
33,-101.473410,-293.347189,-101.473410
34,-101.473410,-286.191827,-101.473410
35,-76.209540,-323.587719,-76.209540
36,-76.209540,-340.613715,-76.209540
37,-76.209540,-254.146662,-76.209540
38,-76.209540,-303.091992,-76.209540
39,-76.209540,-318.607470,-76.209540
40,-45.462779,-178.689983,-45.462779
41,-45.462779,-319.121990,-45.462779
42,-45.076250,-347.857371,-45.076250
43,-45.076250,-334.182401,-45.076250
44,-45.076250,-416.534593,-45.076250
45,-45.076250,-344.291128,-45.076250
46,-45.076250,-383.941339,-45.076250
47,-45.076250,-347.826837,-45.076250
48,-21.499800,-356.679839,-21.499800
49,-17.067900,-280.781470,-17.067900
50,-17.067900,-310.879471,-17.067900
51,700.000000,-121.222294,-1138.666667
52,-458.417900,-772.201644,-458.417900
53,-437.827437,-711.238560,-437.827437
54,-437.827437,-682.758786,-437.827437
55,-437.827437,-696.115082,-437.827437
56,-437.827437,-654.727816,-437.827437
0,-736.110280,-736.212591,-736.110280
1,-736.110280,-736.140613,-736.110280
2,-736.110280,-736.250202,-736.110280
3,-736.110280,-736.167769,-736.110280
4,-736.110280,-736.127091,-736.110280
5,-736.110280,-736.120113,-736.110280
6,-736.110280,-736.191458,-736.110280
7,-736.110280,-736.225736,-736.110280
8,-736.110280,-736.198691,-736.110280
9,-736.110280,-736.207091,-736.110280
10,-736.110280,-736.174358,-736.110280
11,-736.110280,-737.499789,-736.110280
12,-736.110280,-736.110280,-736.110280
13,-736.110280,-736.110280,-736.110280
14,-736.110280,-736.110280,-736.110280
15,-206.890000,-718.469604,-206.890000
16,-206.890000,-647.906900,-206.890000
17,-173.168000,-402.217545,-173.168000
18,-173.168000,-263.528164,-173.168000
19,-146.860400,-245.538621,-146.860400
20,-146.684000,-233.670781,-146.684000
21,-113.611200,-231.559741,-113.611200
22,-113.611200,-238.718024,-113.611200
23,-112.659940,-168.418437,-112.659940
24,-111.615800,-236.055687,-111.615800
25,-111.615800,-183.190492,-111.615800
26,-95.837400,-152.345749,-95.837400
27,-64.240340,-155.035035,-64.240340
28,86.537600,-202.723014,86.537600
29,1000.000000,-42.087015,986.165333
30,986.165333,307.213170,986.165333
31,986.960333,516.079215,986.960333
32,986.977000,522.248774,986.977000
33,986.992333,421.974488,986.992333
34,987.065333,453.071290,987.065333
35,987.662667,282.315673,987.662667
36,988.385667,571.357770,988.385667
37,988.426333,512.474924,988.426333
38,988.935667,493.539200,988.935667
39,988.935667,532.018810,988.935667
40,988.966333,201.404677,988.966333
41,989.359000,532.372306,989.359000
42,989.359000,273.393609,989.359000
43,990.193000,554.018928,990.193000
44,990.193000,541.164245,990.193000
45,990.502000,627.912548,990.502000
46,990.686333,517.652299,990.686333
47,990.732000,639.993090,990.732000
48,991.922333,255.320638,991.922333
49,991.922333,341.641662,991.922333
50,991.922333,253.831384,991.922333
51,991.922333,24.822539,991.922333
52,991.922333,363.367747,991.922333
53,991.922333,287.227609,991.922333
54,992.141333,-11.315272,992.141333
55,992.141333,286.704038,992.141333
56,992.141333,557.651948,992.141333
57,992.141333,79.873651,992.141333
58,992.141333,69.901614,992.141333
59,992.141333,355.087063,992.141333
60,992.141333,372.992645,992.141333
61,992.141333,348.073675,992.141333
62,992.141333,201.816356,992.141333
63,992.141333,389.571784,992.141333
64,992.141333,223.551387,992.141333
65,992.650333,575.366662,992.650333
66,992.650333,395.803791,992.650333
67,992.650333,296.945708,992.650333
68,992.801667,299.126035,992.801667
69,992.801667,251.486669,992.801667
70,992.862667,154.148692,992.862667
71,992.862667,27.483027,992.862667
72,992.862667,105.511626,992.862667
73,992.862667,27.069015,992.862667
74,992.862667,249.053291,992.862667
75,992.889333,72.484015,992.889333
76,992.969667,99.211236,992.969667
77,992.969667,417.305853,992.969667
78,993.805000,484.248934,993.805000
79,993.840333,405.005783,993.840333
80,993.840333,124.354816,993.840333
81,994.625000,233.960890,994.625000
82,994.625000,301.529139,994.625000
83,994.793000,405.351605,994.793000
84,994.793000,260.512202,994.793000
85,994.793000,537.180522,994.793000
86,994.793000,313.077829,994.793000
87,994.793000,440.094817,994.793000
88,994.793000,291.311117,994.793000
89,994.793000,304.968172,994.793000
90,994.793000,526.591060,994.793000
91,994.828667,346.211812,994.828667
92,994.828667,455.705891,994.828667
93,994.828667,379.261891,994.828667
